Date,Close,Open,Prev Close,Volume
26-Aug-03,51.56,49.5,50.01,1816173
27-Aug-03,52.35,52,51.56,1206685
28-Aug-03,54.28,52.83,52.35,1947782
29-Aug-03,55.57,54.83,54.28,2326352
01-Sep-03,54.69,57.95,55.57,1820734
02-Sep-03,55.87,55.18,54.69,1148187
03-Sep-03,55.17,56.5,55.87,1444431
04-Sep-03,55.45,55.83,55.17,822755
05-Sep-03,55.57,56,55.45,2436562
08-Sep-03,55.55,55.5,55.57,729127
09-Sep-03,55.21,55.68,55.55,786341
10-Sep-03,57.25,55.01,55.21,1840117
11-Sep-03,59.81,57.35,57.25,3952448
12-Sep-03,57.85,60.38,59.81,2099560
15-Sep-03,55.09,58.33,57.85,1558166
16-Sep-03,53.87,54.33,55.09,6487160
17-Sep-03,52.85,51.83,53.87,4154742
18-Sep-03,52.74,52.17,52.85,2279354
19-Sep-03,53.11,52.84,52.74,1709431
22-Sep-03,52.58,56.38,53.11,804901
23-Sep-03,53.71,52.48,52.58,597695
24-Sep-03,55.82,53.92,53.71,1491955
25-Sep-03,57.73,60.83,55.82,2698513
26-Sep-03,57.91,58.67,57.73,926747
29-Sep-03,61.77,57.83,57.91,1880676
30-Sep-03,61.24,62.05,61.77,1871395
01-Oct-03,60.2,61.24,61.24,631483
03-Oct-03,60.83,61.05,60.2,855119
06-Oct-03,63.68,59.67,60.83,2523397
07-Oct-03,61.14,63.67,63.68,1330052
08-Oct-03,60.46,61.33,61.14,866660
09-Oct-03,60.18,61.67,60.46,834317
10-Oct-03,58.63,59.17,60.18,697063
13-Oct-03,60.18,58.83,58.63,893295
14-Oct-03,57.53,60.52,60.18,1155150
15-Oct-03,56.59,57.85,57.53,1211948
16-Oct-03,54.97,57.33,56.59,1710344
17-Oct-03,56.91,55.33,54.97,2124682
20-Oct-03,53.35,57.02,56.91,2538076
21-Oct-03,54.34,53.5,53.35,1869335
22-Oct-03,53.48,55.08,54.34,887825
23-Oct-03,53.22,53.5,53.48,769989
24-Oct-03,54.08,53.42,53.22,760551
25-Oct-03,55.36,54.81,54.08,290492
27-Oct-03,54.64,55.5,55.36,735706
28-Oct-03,52.84,55,54.64,1084345
29-Oct-03,53.39,53.5,52.84,619288
30-Oct-03,55.07,53.33,53.39,1496590
31-Oct-03,57.27,54.17,55.07,1768739
03-Nov-03,58.06,58.33,57.27,805317
04-Nov-03,58.62,58.33,58.06,1523634
05-Nov-03,59.13,59,58.62,984572
06-Nov-03,58.37,59.67,59.13,582275
07-Nov-03,59.96,58.67,58.37,1827079
10-Nov-03,59.32,59.67,59.96,574504
11-Nov-03,61.03,60.21,59.32,1227672
12-Nov-03,59.79,61.66,61.03,1711431
13-Nov-03,59.23,60.71,59.79,1198310
14-Nov-03,58.9,59.75,59.23,694451
15-Nov-03,59.23,59,58.9,109333
17-Nov-03,59.79,59.67,59.23,690068
18-Nov-03,59.41,60.63,59.79,486269
19-Nov-03,57.96,59,59.41,347609
20-Nov-03,57.55,58.65,57.96,463127
21-Nov-03,57.38,57.52,57.55,609793
24-Nov-03,57.2,57.01,57.38,371789
25-Nov-03,58.74,57.48,57.2,767532
27-Nov-03,59.46,59.83,58.74,1095748
28-Nov-03,59.69,60,59.46,528197
01-Dec-03,61.58,60.17,59.69,712475
02-Dec-03,60.83,62.36,61.58,558308
03-Dec-03,62.43,60.83,60.83,693789
04-Dec-03,62.85,62.83,62.43,961350
05-Dec-03,62.77,63,62.85,592829
08-Dec-03,63.81,63,62.77,891220
09-Dec-03,63.71,65,63.81,891557
10-Dec-03,63.15,63.9,63.71,720981
11-Dec-03,65.24,63.17,63.15,1161640
12-Dec-03,65.62,65.92,65.24,799137
15-Dec-03,64.58,66.25,65.62,625476
16-Dec-03,65.08,66.5,64.58,864630
17-Dec-03,67.18,65.17,65.08,1816361
18-Dec-03,76.58,68,67.18,7490251
19-Dec-03,71.98,76.48,76.58,2656296
22-Dec-03,70.52,72.2,71.98,2849176
23-Dec-03,70.93,72.91,70.52,741774
24-Dec-03,71.95,71,70.93,859003
26-Dec-03,73.67,72,71.95,847066
29-Dec-03,76.73,73.83,73.67,1266941
30-Dec-03,75.28,72.5,76.73,929429
31-Dec-03,75.07,75.6,75.28,745912
01-Jan-04,76.64,75.67,75.07,1119668
02-Jan-04,79.88,77.5,76.64,1510099
05-Jan-04,83.58,80.63,79.88,2559797
06-Jan-04,85.41,79.17,83.58,4009109
07-Jan-04,85.79,84.33,85.41,2463086
08-Jan-04,87.15,87.67,85.79,1172648
09-Jan-04,86.55,87.5,87.15,1225247
12-Jan-04,84.8,86.83,86.55,1307253
13-Jan-04,80.73,84.75,84.8,1770298
14-Jan-04,84.66,82.67,80.73,2682842
15-Jan-04,80.69,85,84.66,1214074
16-Jan-04,77.58,81.25,80.69,1506428
19-Jan-04,79.8,75.83,77.58,894103
20-Jan-04,79.22,79.69,79.8,731829
21-Jan-04,76.24,76.67,79.22,875637
22-Jan-04,73.81,76.98,76.24,738284
23-Jan-04,76.36,74.16,73.81,796500
27-Jan-04,80.53,86.03,76.36,914122
28-Jan-04,78.23,81.06,80.53,603013
29-Jan-04,76.33,78.97,78.23,1101326
30-Jan-04,77.43,77,76.33,1073913
03-Feb-04,72.28,77.98,77.43,702508
04-Feb-04,72.67,75,72.28,727807
05-Feb-04,72.83,72.92,72.67,1053117
06-Feb-04,77.78,73.33,72.83,3093542
09-Feb-04,79.13,79.83,77.78,973989
10-Feb-04,81.41,79.5,79.13,2109976
11-Feb-04,80.83,81.67,81.41,589189
12-Feb-04,81.95,80.67,80.83,1104785
13-Feb-04,80.73,82.33,81.95,1807016
16-Feb-04,78.87,82.5,80.73,1047057
17-Feb-04,80.51,79.17,78.87,1239979
18-Feb-04,81.16,81.67,80.51,834872
19-Feb-04,79.07,81.33,81.16,940811
20-Feb-04,77.8,78.88,79.07,628320
23-Feb-04,74.31,78.33,77.8,472188
24-Feb-04,75.46,73.27,74.31,651438
25-Feb-04,73.54,75.5,75.46,521266
26-Feb-04,73.6,74.17,73.54,621086
27-Feb-04,76.69,74.67,73.6,1037719
01-Mar-04,81.89,77.5,76.69,947226
03-Mar-04,81.62,81.72,81.89,659441
04-Mar-04,80.06,82,81.62,521575
05-Mar-04,83.48,80.67,80.06,1191012
08-Mar-04,83.85,84.32,83.48,2968824
09-Mar-04,81.76,84.17,83.85,1227565
10-Mar-04,81.2,81.67,81.76,1762339
11-Mar-04,77.63,80.5,81.2,1319703
12-Mar-04,78.76,77.17,77.63,1548519
15-Mar-04,76.91,79.83,78.76,1178044
16-Mar-04,77.38,76.67,76.91,745908
17-Mar-04,77.23,77.82,77.38,793799
18-Mar-04,74.33,77.23,77.23,863773
19-Mar-04,74.04,74.75,74.33,873561
22-Mar-04,72.81,74.17,74.04,454595
23-Mar-04,74.5,71.83,72.81,607632
24-Mar-04,72.83,74.67,74.5,666436
25-Mar-04,72.89,73.33,72.83,1175679
26-Mar-04,78.4,73.66,72.89,1295944
29-Mar-04,78.92,78.67,78.4,315880
30-Mar-04,79.71,79.22,78.92,818319
31-Mar-04,79.88,79.33,79.71,896606
01-Apr-04,81.84,80.33,79.88,741229
02-Apr-04,82.29,82.5,81.84,1385665
05-Apr-04,81.99,82.5,82.29,1104091
06-Apr-04,80.79,82.48,81.99,579132
07-Apr-04,82.26,81.65,80.79,729239
08-Apr-04,82.86,82.5,82.26,863633
12-Apr-04,81.49,84,82.86,500625
13-Apr-04,83.36,81.67,81.49,701097
15-Apr-04,82.31,83.5,83.36,703719
