Date,Open,Close,Prev Close,Volume
29-Nov-07,181,177.399994,177,25616715
30-Nov-07,178,185.800003,177.399994,23047035
03-Dec-07,187.949997,196,185.800003,14578850
04-Dec-07,197.350006,209.800003,196,22742860
05-Dec-07,210,216.800003,209.800003,13806600
06-Dec-07,210.199997,218.020004,216.800003,8619680
07-Dec-07,220,220,218.020004,11182820
10-Dec-07,220.330002,214.710007,220,5028390
11-Dec-07,216.210007,209.199997,214.710007,3990645
12-Dec-07,206,207.380005,209.199997,3637865
13-Dec-07,208,226.229996,207.380005,15317195
14-Dec-07,221.029999,221.399994,226.229996,5345960
17-Dec-07,228,208.850006,221.399994,7024775
19-Dec-07,218.199997,213.380005,208.850006,4228330
20-Dec-07,216.699997,212.039993,213.380005,3116440
24-Dec-07,219,231.360001,212.039993,10304460
26-Dec-07,235,239.979996,231.360001,7335155
27-Dec-07,243,242.330002,239.979996,4887475
28-Dec-07,237.880005,249.820007,242.330002,5820690
31-Dec-07,252.669998,253.759995,249.820007,3686245
01-Jan-08,255.800003,259.369995,253.759995,2456740
02-Jan-08,262.049988,261.48999,259.369995,3519075
03-Jan-08,261,255.160004,261.48999,2525290
04-Jan-08,255.759995,248.070007,255.160004,2753975
07-Jan-08,248,245.449997,248.070007,3154815
08-Jan-08,248,240.960007,245.449997,2652495
09-Jan-08,240,236.050003,240.960007,3137535
10-Jan-08,237,224.309998,236.050003,2194030
11-Jan-08,225.600006,217.169998,224.309998,3084690
14-Jan-08,216.479996,207.029999,217.169998,4179580
15-Jan-08,209.119995,209.910004,207.029999,4152465
16-Jan-08,209.199997,206.080002,209.910004,4080940
17-Jan-08,210,204.179993,206.080002,1680015
18-Jan-08,202,198.919998,204.179993,3384270
21-Jan-08,199,165.009995,198.919998,788625
22-Jan-08,140,147.110001,165.009995,2730805
23-Jan-08,152,171.399994,147.110001,2677310
24-Jan-08,175,162.830002,171.399994,2555085
25-Jan-08,164,173.139999,162.830002,2020225
28-Jan-08,167,164.160004,173.139999,2335260
29-Jan-08,168,168.149994,164.160004,1100350
30-Jan-08,169.960007,166.089996,168.149994,1430950
31-Jan-08,166.199997,167.529999,166.089996,971500
01-Feb-08,166.330002,165.070007,167.529999,1021955
04-Feb-08,169.580002,171.220001,165.070007,1401150
05-Feb-08,171.199997,166.860001,171.220001,810465
06-Feb-08,160.600006,161.5,166.860001,966300
07-Feb-08,165,159.25,161.5,1064660
08-Feb-08,162,156.809998,159.25,1425125
11-Feb-08,157,142.240005,156.809998,1119775
12-Feb-08,145,136.259995,142.240005,1517045
13-Feb-08,163.179993,134.190002,136.259995,214900
14-Feb-08,136,141.960007,134.190002,1345160
15-Feb-08,140,145.75,141.960007,1765245
18-Feb-08,147,154.320007,145.75,1712900
19-Feb-08,155.800003,152.779999,154.320007,687060
20-Feb-08,150,146.419998,152.779999,987445
21-Feb-08,152.399994,147.520004,146.419998,627790
22-Feb-08,144.600006,144.800003,147.520004,405350
25-Feb-08,145.009995,141.529999,144.800003,764015
26-Feb-08,145,147.160004,141.529999,1256345
27-Feb-08,149.940002,149.279999,147.160004,1526600
28-Feb-08,148,147.550003,149.279999,562455
29-Feb-08,147.600006,147.130005,147.550003,1019360
03-Mar-08,145,139.850006,147.130005,912550
04-Mar-08,141,133.850006,139.850006,2004980
05-Mar-08,133.600006,128.179993,133.850006,1316315
07-Mar-08,126,121.949997,128.179993,2264745
10-Mar-08,120,120.230003,121.949997,1179830
11-Mar-08,118.599998,124.739998,120.230003,1134150
12-Mar-08,128,120.580002,124.739998,1053695
13-Mar-08,117,113.260002,120.580002,827575
14-Mar-08,113.800003,112.199997,113.260002,785945
17-Mar-08,109.800003,102.290001,112.199997,1007885
18-Mar-08,101,100.480003,102.290001,1288085
19-Mar-08,106,99.550003,100.480003,980105
24-Mar-08,100.400002,93.839996,99.550003,2714575
25-Mar-08,95,99.43,93.839996,3733735
26-Mar-08,100.400002,100.809998,99.43,1392075
27-Mar-08,99.220001,103.199997,100.809998,1798625
28-Mar-08,103,123.839996,103.199997,1546340
31-Mar-08,125,115.75,123.839996,10674900
01-Apr-08,117,118.440002,115.75,3644195
02-Apr-08,124.760002,121.669998,118.440002,4337755
03-Apr-08,122.199997,120.459999,121.669998,3900130
04-Apr-08,122.800003,118.639999,120.459999,1934490
07-Apr-08,119,118.68,118.639999,2330860
08-Apr-08,125,117.93,118.68,1088650
09-Apr-08,116.099998,119.550003,117.93,2537110
10-Apr-08,123,121.720001,119.550003,2475095
11-Apr-08,122,122.040001,121.720001,1507610
15-Apr-08,121,128.509995,122.040001,3662315
16-Apr-08,131.399994,127.480003,128.509995,2202745
17-Apr-08,129.759995,125.269997,127.480003,2212480
21-Apr-08,128,129.029999,125.269997,1285875
22-Apr-08,128,133.169998,129.029999,2873485
23-Apr-08,135,133.339996,133.169998,1812760
24-Apr-08,133.600006,133.050003,133.339996,1279140
25-Apr-08,134,142.429993,133.050003,7553070
28-Apr-08,145,147.289993,142.429993,5360780
29-Apr-08,147.649994,148.119995,147.289993,3002865
30-Apr-08,148,152.029999,148.119995,3655410
02-May-08,153.25,153.330002,152.029999,3037375
05-May-08,136.339996,150.880005,153.330002,1242715
06-May-08,146,151.580002,150.880005,2093215
07-May-08,152.399994,153.699997,151.580002,1476905
08-May-08,152,156.300003,153.699997,2113150
09-May-08,154.089996,156.75,156.300003,3288700
12-May-08,143.839996,161.509995,156.75,6228725
13-May-08,163.679993,158.570007,161.509995,2345620
14-May-08,158,157.839996,158.570007,842295
15-May-08,159,158.169998,157.839996,698320
16-May-08,159,155.119995,158.169998,924180
20-May-08,155.199997,176.809998,155.119995,17805685
21-May-08,178.910004,180.270004,176.809998,12583100
22-May-08,179.559998,176.880005,180.270004,6699380
23-May-08,178,170.729996,176.880005,3459065
26-May-08,169.690002,177.490005,170.729996,5059040
27-May-08,181.979996,174.610001,177.490005,6401400
28-May-08,174.600006,168.199997,174.610001,3088380
29-May-08,170.229996,166.970001,168.199997,2239530
30-May-08,168.619995,158.080002,166.970001,4255780
02-Jun-08,159.100006,153.160004,158.080002,4245850
03-Jun-08,148.199997,147.880005,153.160004,2664250
04-Jun-08,148.399994,140.440002,147.880005,1915440
05-Jun-08,140.199997,131.509995,140.440002,3579815
06-Jun-08,133.979996,127.919998,131.509995,2841970
09-Jun-08,124,122.519997,127.919998,2306670
10-Jun-08,119.839996,117.849998,122.519997,2586135
11-Jun-08,119.599998,121.419998,117.849998,3841800
12-Jun-08,119.580002,118.699997,121.419998,2530485
13-Jun-08,118.699997,120.059998,118.699997,2557780
16-Jun-08,122,124.18,120.059998,4810680
17-Jun-08,124.199997,126.120003,124.18,1734210
18-Jun-08,126.120003,125.779999,126.120003,3471990
19-Jun-08,123.599998,129.830002,125.779999,3745810
20-Jun-08,130.770004,124.849998,129.830002,3581665
23-Jun-08,124,114.209999,124.849998,4199165
24-Jun-08,114.709999,113.739998,114.209999,3366790
25-Jun-08,112,109.940002,113.739998,3264390
26-Jun-08,117.199997,105.690002,109.940002,3293845
27-Jun-08,101,99.199997,105.690002,3403335
30-Jun-08,99.199997,98.830002,99.199997,1913815
01-Jul-08,100,95.629997,98.830002,1329330
02-Jul-08,87.800003,96.260002,95.629997,9877350
03-Jul-08,94.199997,88.669998,96.260002,5041115
04-Jul-08,89.800003,90.080002,88.669998,2656325
07-Jul-08,91.099998,93.470001,90.080002,2721810
08-Jul-08,91.400002,91.889999,93.470001,2989255
09-Jul-08,95.800003,110.269997,91.889999,11755215
10-Jul-08,112,113.550003,110.269997,17114200
11-Jul-08,114,109.269997,113.550003,4688250
14-Jul-08,108,106.980003,109.269997,5552560
15-Jul-08,106,97.599998,106.980003,4163170
16-Jul-08,95,95.639999,97.599998,3697585
17-Jul-08,99.800003,95.75,95.639999,3005685
18-Jul-08,97,93.480003,95.75,4306840
21-Jul-08,94,95.269997,93.480003,3410565
22-Jul-08,97,103.290001,95.269997,7527325
23-Jul-08,107.989998,110.709999,103.290001,4448180
24-Jul-08,112.660004,116.919998,110.709999,5672650
25-Jul-08,115,117.559998,116.919998,7324370
28-Jul-08,116,117.690002,117.559998,3732325
29-Jul-08,116,110.940002,117.690002,11216705
30-Jul-08,114,112.779999,110.940002,5019235
31-Jul-08,114.199997,115.599998,112.779999,3578765
01-Aug-08,114,115.25,115.599998,3292850
04-Aug-08,115.199997,117.010002,115.25,2636195
05-Aug-08,117.010002,117.400002,117.010002,2614045
06-Aug-08,120.099998,115.330002,117.400002,2470665
07-Aug-08,115.330002,114.75,115.330002,2551555
08-Aug-08,114,116.309998,114.75,2829625
11-Aug-08,118,118.199997,116.309998,2528650
12-Aug-08,118.400002,125.300003,118.199997,10981260
13-Aug-08,124,122.949997,125.300003,4119835
14-Aug-08,123,114.459999,122.949997,2620450
18-Aug-08,115.019997,114.75,114.459999,1336990
19-Aug-08,114.800003,113.779999,114.75,992960
20-Aug-08,114.400002,116.029999,113.779999,1098145
21-Aug-08,116,112.870003,116.029999,991000
22-Aug-08,113,115.18,112.870003,1285000
25-Aug-08,117.959999,116.440002,115.18,2068825
26-Aug-08,115.050003,113.730003,116.440002,1026585
27-Aug-08,114.800003,112.160004,113.730003,939630
28-Aug-08,110.330002,111.510002,112.160004,1550995
29-Aug-08,113.400002,115.449997,111.510002,1400280
01-Sep-08,114.980003,118.209999,115.449997,2798610
02-Sep-08,119.019997,118.129997,118.209999,2493960
04-Sep-08,117.199997,116.760002,118.129997,868825
05-Sep-08,115,114.150002,116.760002,962595
08-Sep-08,117.760002,116.029999,114.150002,1128340
09-Sep-08,116,116.089996,116.029999,909095
10-Sep-08,115.199997,117.93,116.089996,2586170
11-Sep-08,116.599998,115.919998,117.93,1404905
12-Sep-08,116.199997,112.550003,115.919998,851465
15-Sep-08,110,107.150002,112.550003,314195
16-Sep-08,106.050003,107.669998,107.150002,1102925
17-Sep-08,108.989998,98.730003,107.669998,1623750
18-Sep-08,95.199997,90.949997,98.730003,3328495
19-Sep-08,99.989998,91.279999,90.949997,3133560
22-Sep-08,92.199997,88.769997,91.279999,3643265
23-Sep-08,87.800003,88.510002,88.769997,2062220
24-Sep-08,90.599998,89.379997,88.510002,1924885
25-Sep-08,89.599998,87.989998,89.379997,710440
26-Sep-08,85.900002,86.190002,87.989998,992275
29-Sep-08,87,84.57,86.190002,1737485
30-Sep-08,80,86.330002,84.57,1786865
01-Oct-08,86.760002,86.82,86.330002,1462065
03-Oct-08,86.800003,86.370003,86.82,1413285
06-Oct-08,85,82.43,86.370003,1173260
07-Oct-08,82,83.050003,82.43,3239595
08-Oct-08,80,79.349998,83.050003,2804625
10-Oct-08,75.940002,69.879997,79.349998,2569640
13-Oct-08,70.410004,76.019997,69.879997,1619750
14-Oct-08,80,79.739998,76.019997,1667105
15-Oct-08,76.400002,76.080002,79.739998,663360
16-Oct-08,70.510002,80.099998,76.080002,1646905
17-Oct-08,81.68,80.199997,80.099998,1002060
20-Oct-08,80.019997,82,80.199997,1226585
21-Oct-08,83.580002,87.199997,82,1158575
